area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,560100
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120,561203
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62,560061
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,560091
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51,560077
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,560066
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204,ERROR
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600,560010
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25,560037
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,370,560004
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70,560066
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295,560066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,560078
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40,560083
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148,560037
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,560076
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,ERROR
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,560098
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,560094
area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,560100
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120,561203
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62,560061
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,560091
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51,560077
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,560066
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204,ERROR
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600,560010
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25,560037
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,370,560004
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70,560066
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295,560066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,560078
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40,560083
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148,560037
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,560076
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,ERROR
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,560098
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,560094
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,48,ERROR
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15,560060
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122,560046
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380,560077
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,103,560037
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25,560077
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,56,560068
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1,560100
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,81,560066
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77,560066
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47,560100
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186,560064
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35,ERROR
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123,560024
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39,560098
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125,560043
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36,560062
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,45.5,560100
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125,560037
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,56.12,560061
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,45,560061
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,81,560017
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38,562125
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38,ERROR
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,48,560064
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79,560062
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,200,560102
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33,560100
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82,560066
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1,1,130,573201
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,36,ERROR
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50,305001
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99,ERROR
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91,560066
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75,ERROR
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75,560064
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44,560068
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192,562110
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185,560094
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4,1,150,560017
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,45,ERROR
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3,2,240,ERROR
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55,ERROR
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,650,560066
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44,560087
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8,0,140,560068
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,62,560100
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43,560087
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,57,560037
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7,0,85,560076
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2,1,36.68,560062
Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3,2,100,560027
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58,560068
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101,ERROR
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70,ERROR
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140,560077
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2,1,48.23,560077
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2,3,40,560076
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205,560032
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1,0,22,560032
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6,3,250,560078
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105,ERROR
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5,560077
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,78,560064
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2,2,60.8,560048
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,102,560066
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7,2,210,ERROR
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3,2,88,560062
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,37,562123
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,2,58.06,560035
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6,3,160,560010
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2,2,70,201002
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2,1,28.88,560100
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2,2,70,562109
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4,2,155,560078
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2,3,80,560077
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3,2,90,560071
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4,1,245,560060
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2,1,48,562107
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2,1,65,ERROR
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3,1,90,560057
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3,3,138,560022
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1,1,17,560081
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2,1,150,560077
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2,2,43,ERROR
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,50,560076
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2,2,49.9,560058
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2,1,98,560072
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,2,229,560010
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2,2,55.68,560015
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2,2,66.78,562110
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3,3,120,ERROR
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,2,75,742149
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,1,51.91,560066
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2,1,45.9,560100
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,4,1,225,560016
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3,2,140,562125
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2,3,64,560060
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3,1,74.75,560077
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2,2,75,560003
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,,276,3,3,23,560077
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3,2,120,560077
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,1,200,560016
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4,0,477,560024
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4,2,150,560045
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2,2,68.52,562110
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2,1,34,560067
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3,2,65,ERROR
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2,1,54,560062
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2,1,78,560043
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,950,7,0,115,ERROR
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3,3,110,560058
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3,1,75,560037
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1,1,16.5,560100
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4,0,210,ERROR
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,83,560068
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,57,560062
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2,1,65,562110
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2,0,54.005,ERROR
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3,1,50.4,560001
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2,2,85.05,560040
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,,5000,8,,250,560077
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5,1,213,560064
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3,1,105,560035
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2,1,60,560078
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2,1,43.76,560016
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7,2,225,ERROR
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3,,110,560077
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2,1,35,560068
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3,3,46.74,560049
Plot  Area,Ready To Move,Dinnur,6 Bedroom,,1034,5,,185,560032
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4,2,91.31,560076
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,58,560067
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2,3,44,560076
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4,,235,560092
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2,2,50,560076
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2,1,30.6,560100
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2,2,50,560076
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3,3,135,560077
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3,1,145,560077
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4,0,760,560086
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2,3,48,560105
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2,1,32,560100
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,1,150,ERROR
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,4200,4,2,420,560066
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3,1,175,560094
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2,0,43.49,560037
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2,2,75,ERROR
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,64.5,560100
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2,1,60,560100
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2,2,70,560068
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6,0,99,560016
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1,1,11,562107
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2,1,64.5,560100
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2,1,56,560100
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3,3,65,123123
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,,1500,3,2,100,ERROR
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,,600,3,2,85,560078
Plot  Area,Ready To Move,Nagavara,1 Bedroom,,400,1,0,14,562108
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1,2,67,560003
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1,1,36,560100
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2,3,51,560076
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3,2,155,560024
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3,2,145,560077
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3,2,110,560040
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,52,560100
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,1846,3,2,300,560095
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2,2,55.7,560064
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2,1,46,560100
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2,0,56.8,573201
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2,2,52,560037
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,,2250,4,1,110,560062
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2,3,80,560066
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5,,325,560037
Plot  Area,Ready To Move,Ejipura,7 Bedroom,,1800,7,1,250,560047
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2,2,60,560037
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,2,98,560064
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2,2,58,560077
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,,1783,3,1,115,ERROR
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3,2,56,560102
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2,1,48,560073
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2,2,82,560066
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2,1,70,560025
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2,2,47.6,560066
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2,1,53,560066
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2,2,54,560067
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2,2,48.7,560064
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3,2,88,560064
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2,1,87,560087
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2,2,43.5,560066
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,1736,6,0,190,560070
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4,1,428,560011
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3,2,65,560100
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3,2,89,ERROR
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3,2,78.29,560100
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3,3,100,ERROR
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2,1,65,560057
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,,3600,6,0,141,560023
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1,1,27,560100
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3,3,78,560043
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3,2,98.29,562125
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3,2,125,562125
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2,3,90,560003
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4,1,75.5,ERROR
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2,1,44.28,562125
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Jurdsig,1520 - 1740,,,74.82,562110
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4,2,260,ERROR
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2,2,72,560078
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,,1500,2,1,115,560076
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3,2,119,560024
Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805,2,1,22.14,562125
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,56.4,560049
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2,2,60,ERROR
