area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,55,560059
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2,2,42,560100
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2,2,110,560043
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2,1,65,ERROR
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2,2,39,ERROR
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3,1,129,560040
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,3500,5,2,150,560016
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2,2,60,ERROR
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1,1,16.45,560081
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,,2600,8,2,180,ERROR
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1,1,16.45,560081
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3,3,84,560094
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2,3,72.5,ERROR
Plot  Area,Ready To Move,Electronic City,3 Bedroom,,1200,3,1,90,560100
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2,1,40,560100
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3,1,70,560077
Plot  Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3,2,280,562157
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3,2,185,560043
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1,1,20,560081
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2,2,55,626190
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2,2,93,560078
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2,2,22.5,ERROR
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,,1280,2,1,69,560037
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200,2,0,95,560043
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1025,2,2,36,562125
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2,1,63,560100
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,,1200,5,,170,ERROR
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3,2,170,560024
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3,2,300,110062
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3,2,75.5,560040
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,2,43.9,560098
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2,1,59.9,560049
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2,2,49.2,562125
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4,0,52.8,562107
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,2,46,ERROR
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2,2,61.58,560077
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1,1,26,560086
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3,2,120,560076
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2,1,32,560037
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3,2,131,560062
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,883,2,1,45,560068
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,,900,2,1,110,ERROR
Super built-up  Area,Ready To Move,Kogilu,3 BHK,,1664,2,3,73.95,560064
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3,2,132,ERROR
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2,1,80.9,ERROR
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4,2,250,562157
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3,3,91.45,560067
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,55,560085
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2,1,34.5,ERROR
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2,1,100,560078
Plot  Area,Ready To Move,Srirampura,6 Bedroom,,1450,6,0,250,570023
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,78.8,560100
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,1075,2,1,46,ERROR
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2,2,94,560049
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2,1,40,560076
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1280,2,2,56,560093
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2,2,50,ERROR
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2,2,25.88,560081
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2,1,51.25,560062
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,2,44,ERROR
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2,2,45,560100
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,1,98.2,560024
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,50,560078
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2,3,75,560064
Plot  Area,18-Jan,TC Palaya,3 Bedroom,,1475,3,1,98,560016
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,2,47,ERROR
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4,0,120,560094
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,880,3,1,140,560085
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3,2,104,562125
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2,1,29.5,560068
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2,1,70,560076
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3,0,100,560040
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,105,560077
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2,3,45,560037
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26,560062
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3,2,95,560057
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4,3,65,560068
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3,3,150,560078
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2,3,100,560087
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3,3,115,574154
Super built-up  Area,18-Apr,Yelahanka,2 BHK,,1350,2,1,55.55,560064
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,67,560062
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,,1140,2,2,46.5,560075
Plot  Area,Ready To Move,Srirampura,5 Bedroom,,1200,5,2,180,570023
Super built-up  Area,18-Dec,Kodathi,2 BHK,,850,2,2,27,560035
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2,2,75,560066
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1170,2,2,52,560037
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,51,ERROR
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2,1,83.09,560077
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65,560100
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1200,2,2,128,560037
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4,3,165,ERROR
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,415,560010
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,2400,4,1,400,560085
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56,ERROR
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,2,2,55,ERROR
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2,2,52,560032
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2,1,55,560062
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,95,586101
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,,1000,2,1,67,562125
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,2650,4,2,198,ERROR
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2,2,74,560078
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3,2,215,560008
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,58,560066
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2,2,45,560061
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,230,560058
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3,3,64,560102
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,,1200,2,0,79,ERROR
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,,1230,2,3,48,560001
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2,2,40,560076
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2,2,76,560076
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,1,150,560078
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,,,21.53,560062
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2,2,65,560079
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,,1350,2,0,140,560004
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3,1,49.36,562106
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,0,150,ERROR
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3,2,74,ERROR
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,43.25,ERROR
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2,1,77,ERROR
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3,2,75,ERROR
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2,3,57,560016
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1,1,28.35,560100
Plot  Area,Ready To Move,RMV,3 Bedroom,,2000,3,2,365,560094
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,,1762,3,1,125,ERROR
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,,950,2,2,50,562149
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5,3,335,560008
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2,1,50,560023
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2,2,89.04,560077
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,,1200,3,0,90,ERROR
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,1500,4,2,230,600012
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,,500,1,1,18.5,560076
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2,1,52,560043
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1,0,11.66,560081
Built-up  Area,Ready To Move,Bellandur,2 BHK,,1205,2,3,66,560037
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2,2,60,ERROR
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2,2,39,573201
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2,1,60,ERROR
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,212,560024
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2,2,55,ERROR
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2,1,65,560076
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3,2,275,571235
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,46.8,560068
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2,1,108,ERROR
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3,2,110,560076
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1,0,29.9,ERROR
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3,2,95,560100
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3,0,77,560013
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,2,115,ERROR
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2,,90,560048
Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1,1,36,562106
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,44,560068
Built-up  Area,Ready To Move,Kengeri,2 BHK,,1000,2,1,25,560060
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,40,560062
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,,1629,3,2,79,ERROR
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1580,2,0,134,560040
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3,2,121,560040
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2,1,94,560078
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2,2,45.79,560098
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,1,33,ERROR
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3,3,108,560022
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2,2,53,560100
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2,1,58,ERROR
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2,1,32,560100
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2,2,55,560037
Super built-up  Area,Ready To Move,K N Extension,6 BHK,,700,3,,120,ERROR
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2,1,120,560029
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3,1,45,560081
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3,2,161,560066
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4,1,230,560066
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,,1200,2,1,65,ERROR
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,,1200,4,1,175,560054
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,1,82,560078
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,,1000,2,0,165,560040
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1200,2,0,125,560076
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,410,560010
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,,12000,6,3,2200,560010
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,,550,1,1,62,560032
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,34.46Sq. Meter,1,0,18.5,560060
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2,,38,ERROR
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2,1,38,560060
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,,1200,7,3,250,560086
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,64.5,560062
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3,2,88,ERROR
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2,2,62,560076
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1350,3,2,150,560072
Plot  Area,17-Dec,Anandapura,2 Bedroom,,1000,2,1,55,560016
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1090,2,2,31.48,560001
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2,0,60,560016
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,103,560049
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2,1,26.5,562106
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2,1,75,560102
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2,2,67,560048
Plot  Area,Ready To Move,Chandapura,6 Bedroom,,1533,5,3,85,560081
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3,2,79,ERROR
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2,2,55,123123
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,1,55,ERROR
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3,2,140,560037
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2,0,69,560029
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2,3,69,ERROR
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1240,2,2,47.12,560076
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2,2,48.1,560098
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,,1200,8,,250,560078
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4,,240,560025
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3,2,55,ERROR
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3,2,68.29,ERROR
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1,1,40,562123
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1000,4,3,110,560035
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,11890,4,3,700,560066
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2,1,76,560037
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2,1,95,560078
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1670,2,3,57,562125
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,2,100,ERROR
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,71,ERROR
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2,2,95,560048
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1,1,34.65,560100
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3,2,135,ERROR
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1650,3,2,78,560076
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,1,55.47,560098
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3,2,252,560085
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,74.03,562125
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,,1200,4,2,200,560075
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2,2,55,560043
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4,3,325,560073
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2,2,30.35,560081
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3,2,98,560037
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,950,2,1,46.96,560037
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9,3,360,ERROR
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3,0,120,ERROR
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2,1,35.23,560100
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2,1,30,ERROR
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1020,2,2,63,560070
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2,2,50,560061
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,2,126,110024
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2,2,130,560024
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,,1800,3,3,110,560102
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1070,2,1,54,560016
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,4,2,220,560072
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1440,2,0,95,560097
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2,1,40,560092
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,,1200,4,1,230,560076
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2,1,42.16,560066
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,165,560003
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,,1270,2,1,98,560092
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2,1,62,ERROR
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,,4800,4,,235,ERROR
Super built-up  Area,Ready To Move,NS Palya,2 BHK,,1200,2,1,74,560076
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,0,50.17,560061
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4,2,260,560094
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,,1125,4,3,180,560004
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,,500,3,2,65,560098
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5,2,190,560043
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,2,56,ERROR
